Streaming Platform User Engagement & Revenue Intelligence Dashboard,,,,,,,,
,,,,,,,,
,,,,,,,,
"Strategic analysis of monetization, retention, and content performance drivers",,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,"$104,861.25",,,,,,85.05%
,,,,,,,,
,, Total Revenue,,,,,,Active Rate
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,67.12%,,,,,,$20.87
,,,,,,,,
,,Avg. Watch Duration,,,,,,Avg. Monthly Spend
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,REVENUE STRATEGY,,,,,,RETENTION & USER BEHAVIOR,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,PREMIUM & STANDARD together drive majority of platform revenue.,,,,,,"User retention remains evenly distributed across subscription plans, reflecting consistent stickiness.",
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,"USA dominates revenue contribution, indicating heavy dependence on a single geographic market.",,,,,,Tablet and Desktop users demonstrate deeper engagement compared to Mobile users.,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,CONTENT PERFORMANCE,,,,,,ADVANCED BUSINESS ANALYSIS,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,"Romance and Thriller genres show highest engagement, making them key content drivers.",,,,,,"Inactive users show lower engagement and spending, confirming engagement as a key retention driver.",
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,"Limited Series and Documentaries generate higher engagement, reflecting stronger long-form content retention.",,,,,,"Spending and engagement levels are broadly similar across plans, suggesting stable monetization across tiers.",